# Decadal averaged CFA data for NEEM
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP (before 1950) on the GICC05 age scale for NEEM (see reference)
# Na : Concentration of Na+ ions in (ng/g)
# Ca : Concentration of Ca++ ions in (ng/g)
#
Age_BP,Na,Ca
15865.00000,58.76202,186.37244
15875.00000,61.98568,172.27685
15885.00000,68.76913,213.15286
15895.00000,49.10229,177.20017
15905.00000,24.54119,125.96194
15915.00000,59.04400,198.73536
15925.00000,70.31191,211.53249
15935.00000,44.21264,192.16198
15945.00000,45.85973,211.00368
15955.00000,71.89239,170.81096
15965.00000,55.59658,157.13544
15975.00000,89.20084,260.92015
15985.00000,128.78890,162.41331
15995.00000,,205.55363
16005.00000,,197.78322
16015.00000,61.93302,242.23123
16025.00000,67.29385,248.23669
16035.00000,82.15810,243.88613
16045.00000,77.25695,231.76285
16055.00000,47.46543,199.32839
16065.00000,85.71738,287.58213
16075.00000,55.25179,263.00616
16085.00000,66.76826,319.53648
16095.00000,67.80128,282.94315
16105.00000,97.27871,349.14189
16115.00000,63.84239,264.26441
16125.00000,61.19005,169.48325
16135.00000,70.93073,213.24037
16145.00000,56.29564,220.86969
16155.00000,87.46834,268.53102
16165.00000,58.86675,163.72856
16175.00000,58.64337,188.64527
16185.00000,69.21003,224.60951
16195.00000,59.28719,330.86772
16205.00000,79.14815,257.66444
16215.00000,70.65310,147.73210
16225.00000,66.69711,161.63278
16235.00000,105.90499,285.90531
16245.00000,66.01124,226.89211
16255.00000,71.19264,318.87198
16265.00000,47.60450,239.70921
16275.00000,57.06812,218.69730
16285.00000,84.54927,334.61747
16295.00000,84.51026,190.49876
16305.00000,78.50056,181.49610
16315.00000,84.11812,277.21074
16325.00000,50.08937,181.34942
16335.00000,73.21660,238.46503
16345.00000,51.64294,195.95662
16355.00000,63.38879,196.99689
16365.00000,66.39362,231.64801
16375.00000,88.00804,287.55235
16385.00000,70.33225,200.14047
16395.00000,62.76233,186.14780
16405.00000,65.66384,218.25620
16415.00000,82.37522,236.82902
16425.00000,57.69039,267.32974
16435.00000,57.74475,235.63839
16445.00000,73.33375,242.60445
16455.00000,123.52327,345.03433
16465.00000,130.37149,267.25427
16475.00000,70.07468,209.86168
16485.00000,56.60181,197.08563
16495.00000,66.33828,265.29564
16505.00000,57.02398,259.12331
16515.00000,84.33012,358.68185
16525.00000,64.71742,263.70886
16535.00000,54.25304,263.70914
16545.00000,63.19648,336.19654
16555.00000,65.00497,239.14011
16565.00000,68.82322,299.30232
16575.00000,56.02048,241.38232
16585.00000,69.21618,261.09995
16595.00000,72.45830,235.54034
16605.00000,42.79538,207.23041
16615.00000,66.86774,246.80054
16625.00000,61.58043,248.08160
16635.00000,78.19894,230.07235
16645.00000,78.13165,277.84807
16655.00000,83.18987,307.30429
16665.00000,57.96550,258.37760
16675.00000,74.27278,268.07932
16685.00000,50.85120,221.07611
16695.00000,57.31603,216.41081
16705.00000,102.65556,313.93449
16715.00000,58.16005,201.71140
16725.00000,59.25000,244.26795
16735.00000,49.75321,196.41825
16745.00000,74.84890,251.85282
16755.00000,79.07540,279.49388
16765.00000,73.58956,291.58393
16775.00000,83.62781,298.36571
16785.00000,65.52297,282.75123
16795.00000,79.43587,280.25936
16805.00000,61.66033,378.42078
16815.00000,92.56572,354.78897
16825.00000,68.31583,211.63527
16835.00000,77.17456,280.69522
16845.00000,56.08815,226.91745
16855.00000,85.40649,272.46067
16865.00000,77.20018,352.60083
16875.00000,71.60051,301.66395
16885.00000,64.93778,238.33688
16895.00000,40.06372,206.28578
16905.00000,63.18039,292.98298
16915.00000,134.90583,510.66757
16925.00000,79.83832,278.28990
16935.00000,74.40094,345.18229
16945.00000,70.94154,280.94731
16955.00000,69.71284,273.05856
16965.00000,65.41635,231.60991
16975.00000,42.02141,161.08932
16985.00000,63.26001,222.12899
16995.00000,54.88467,213.03899
17005.00000,61.10084,250.96181
17015.00000,92.85383,298.09368
17025.00000,80.00644,303.28969
17035.00000,79.56941,263.05177
17045.00000,85.61288,254.10185
17055.00000,48.92939,197.62335
17065.00000,105.52938,334.32324
17075.00000,86.84255,301.59999
17085.00000,70.55186,279.51420
17095.00000,73.56916,239.48829
17105.00000,78.04426,305.26086
17115.00000,76.05882,249.26302
17125.00000,70.66984,272.72875
17135.00000,99.95404,290.64893
17145.00000,52.44715,232.28204
17155.00000,66.18962,284.32692
17165.00000,65.57120,301.90799
17175.00000,78.14395,320.65984
17185.00000,111.00156,424.96549
17195.00000,105.51393,268.06951
17205.00000,57.37295,261.67964
17215.00000,50.45519,228.44717
17225.00000,85.61416,251.67629
17235.00000,83.31788,309.98969
17245.00000,94.54525,300.98555
17255.00000,73.27715,310.29890
17265.00000,60.70658,266.68797
17275.00000,78.76826,310.48007
17285.00000,58.59808,303.93686
17295.00000,75.32097,344.26881
17305.00000,86.44799,351.56052
17315.00000,112.85537,437.54767
17325.00000,80.36899,264.04327
17335.00000,89.18906,359.82219
17345.00000,76.91836,318.18169
17355.00000,82.50682,301.68143
17365.00000,72.25650,375.01273
17375.00000,81.24578,394.34012
17385.00000,64.95540,309.46495
17395.00000,78.88481,433.04189
17405.00000,46.09477,301.05031
17415.00000,127.58135,511.59237
17425.00000,83.06459,385.91608
17435.00000,101.51590,433.94887
17445.00000,140.34161,434.79469
17455.00000,105.58484,331.08646
17465.00000,99.86155,327.04853
17475.00000,110.84982,414.53460
17485.00000,129.84021,472.01102
17495.00000,128.09037,410.81858
17505.00000,79.30974,302.19743
17515.00000,106.56993,342.89109
17525.00000,82.07543,309.02407
17535.00000,111.94196,339.02769
17545.00000,139.12683,366.71454
17555.00000,86.99254,261.80872
17565.00000,78.17164,236.62918
17575.00000,95.26506,270.68387
17585.00000,116.48388,309.37002
17595.00000,66.46031,205.84045
17605.00000,75.92998,191.57907
17615.00000,67.18951,206.95110
17625.00000,85.69928,162.30295
17635.00000,61.33953,166.96137
17645.00000,130.56517,315.90477
17655.00000,62.65336,151.89024
17665.00000,61.14915,207.19020
17675.00000,55.14418,162.16643
