# Decadal averaged CFA, water isotope and layerthickness data for NGRIP
# 
# Columns:
# Age_BP : Age of the middle of the sampling interval in years BP on the GICC05 age scale for NGRIP (see reference)
# Na : Concentration of Na+ ions in (ng/g), measured by continuous flow analysis
# Ca : Concentration of Ca++ ions in (ng/g), measured by continuous flow analysis
# lt : Annual layerthickness in (m) as calculated from the age model (see reference)
# d18O : Water isotopic composition in permille relative to VSMOW (see references)
#
# For age model see:
# Svensson, Anders, K K Andersen, Matthias Bigler, H B Clausen, Dorthe Dahl-Jensen, S M Davies, Sigfus J Johnsen, et al. 2008. “A 60 000 Year Greenland Stratigraphic Ice Core Chronology.” Climate of the Past 4 (1): 47–57. doi:10.5194/cp-4-47-2008.
# 
# For water isotope data see:
# NGRIP members. 2004. “High-Resolution Record of Northern Hemisphere Climate Extending into the Last Interglacial Period.” Nature 431 (7005): 147–51. doi:10.1038/nature02805.
# Gkinis, V, S B Simonsen, S L Buchardt, James W C White, and Bo M Vinther. 2014. “Water Isotope Diffusion Rates from the NorthGRIP Ice Core for the Last 16,000 Years - Glaciological and Paleoclimatic Implications.” Earth and Planetary Science Letters 405 (C). 132–41. doi:10.1016/j.epsl.2014.08.022.
#

Age_BP,Na,Ca,lt,d18O
11485.00000,,8.42649,0.05273,-37.01545
11495.00000,,11.64023,0.06564,-36.63154
11505.00000,,9.40369,0.05226,-36.51600
11515.00000,,,0.05277,-36.99909
11525.00000,,14.60949,0.05650,-36.72000
11535.00000,14.67157,13.74559,0.06451,-36.85385
11545.00000,14.32056,16.54560,0.06214,-36.65769
11555.00000,13.94095,17.53479,0.05549,-36.55000
11565.00000,15.22261,16.65645,0.05972,-36.49000
11575.00000,21.01545,15.07310,0.06276,-36.45333
11585.00000,23.54608,17.99761,0.05330,-36.65273
11595.00000,21.29642,21.15814,0.06035,-37.41917
11605.00000,18.88348,24.29374,0.05770,-35.75000
11615.00000,28.27967,13.84479,0.05143,-38.75182
11625.00000,25.31545,18.34661,0.04861,-38.23111
11635.00000,27.82159,43.29617,0.04992,-38.18400
11645.00000,34.64255,46.56213,0.03870,-40.14500
11655.00000,41.68497,88.05950,0.03550,-39.31571
11665.00000,49.47119,88.34444,0.02530,-39.96400
11675.00000,49.01352,89.54166,0.03450,-40.31143
11685.00000,45.53738,83.43825,0.03380,-39.44714
11695.00000,54.01709,127.57899,0.03090,-41.25167
11705.00000,47.60815,104.17632,0.03330,-40.27286
11715.00000,42.48861,84.78295,0.03010,-40.92833
11725.00000,45.20698,94.72952,0.02800,-40.06600
11735.00000,34.42680,86.69157,0.03060,-39.43286
11745.00000,39.34765,150.49102,0.02810,-40.56600
11755.00000,37.01893,115.88404,0.03330,-40.66714
11765.00000,37.74770,103.58323,0.02940,-40.31833
11775.00000,42.52171,110.87875,0.03340,-40.86667
11785.00000,36.00297,100.47434,0.02840,-40.79000
11795.00000,48.05217,142.49185,0.02970,-40.06000
11805.00000,48.21543,115.79563,0.02780,-38.32667
11815.00000,35.73695,103.15280,0.02860,-38.33000
11825.00000,51.75470,129.48485,0.02730,-39.99667
11835.00000,72.28763,129.85816,0.02400,-43.90600
11845.00000,38.73730,105.24232,0.02990,-38.84000
11855.00000,59.30325,128.69707,0.02830,-40.14500
11865.00000,41.23082,135.62980,0.02970,-39.47833
11875.00000,75.66672,154.04549,0.03090,-42.74667
11885.00000,48.48538,150.44969,0.02880,-41.03333
11895.00000,56.72011,143.77152,0.03020,-39.60333
11905.00000,72.46610,105.01417,0.03220,-41.04857
11915.00000,71.11005,114.77696,0.02790,-41.62000
11925.00000,35.94862,111.07120,0.03120,-41.54667
11935.00000,39.85504,136.19500,0.02770,-41.33000
11945.00000,36.09396,120.06031,0.02750,-39.56600
11955.00000,37.34797,127.08404,0.03020,-39.59000
11965.00000,39.23715,99.32071,0.02570,-40.06167
11975.00000,41.83848,87.95072,0.03230,-40.08333
11985.00000,34.61143,95.65213,0.03330,-40.19429
11995.00000,30.77624,122.40508,0.02780,-39.66600
12005.00000,38.49665,101.78596,0.03070,-38.60000
12015.00000,56.25784,105.86185,0.02820,-40.87667
12025.00000,40.07880,111.71275,0.02750,-40.41000
12035.00000,39.06335,117.84492,0.03320,-39.68333
12045.00000,51.57102,123.51366,0.02680,-42.21333
12055.00000,50.86510,122.77849,0.02600,-41.23400
12065.00000,51.87269,128.67209,0.02670,-42.51400
12075.00000,58.03636,164.98173,0.02860,-40.62667
12085.00000,40.26203,115.77819,0.02890,-40.49167
12095.00000,64.02801,152.75114,0.02720,-42.58800
12105.00000,48.62313,134.42795,0.02460,-41.18400
12115.00000,50.92210,167.74996,0.02520,-41.76800
12125.00000,64.86748,162.87074,0.02460,-42.03600
12135.00000,25.70446,86.10413,0.02640,-38.40800
12145.00000,37.89121,85.81352,0.03060,-39.31500
12155.00000,47.81257,136.63537,0.02720,-41.38333
12165.00000,50.85582,135.27704,0.02830,-41.62200
12175.00000,56.64845,173.52876,0.02730,-40.44167
12185.00000,48.84239,152.53390,0.02620,-41.75600
12195.00000,57.70282,158.47969,0.02870,-41.35667
12205.00000,47.17646,140.10895,0.02590,-37.24400
12215.00000,52.84524,118.84426,0.02940,-41.45167
12225.00000,68.59618,171.78506,0.03290,-40.46500
12235.00000,47.13195,150.59778,0.02380,-38.46000
12245.00000,63.94975,143.69109,0.03070,-43.22167
12255.00000,51.40309,142.07615,0.02750,-40.06500
